songTitle,artistName,releaseYear,popularity
!Que Vida! - Mono Version,['Love'],1966,26
40,['U2'],1983,21
40 - Live,['U2'],1983,41
40 - Remastered 2008,['U2'],1983,37
45,['The Gaslight Anthem'],2012,48
8 Teen,['? & The Mysterians'],1966,17
A You're Adorable,['Brian Hyland'],1961,44
"Addio, mio dolce amor! from Edgar (Act III) - Voice","['Giacomo Puccini', 'Renata Scotto', 'Eve Queler']",1946,0
Amarilli mia bella - 1955 Version,"['Giulio Caccini', 'Irma Kolassi', 'Jacqueline Bonneau']",1952,0
"Amarilli, mia bella - 1953 Version","['Giulio Caccini', 'Irma Kolassi', 'Jacqueline Bonneau']",1952,0
B Movie Box Car Blues - Live,"['The Blues Brothers', 'Joe Gastwirt']",1978,37
Buckwheat,['Eddie Murphy'],1982,23
"Carmen Fantasie, by Franz Waxman, based on themes from an opera by Georges Bizet","['Georges Bizet', 'Jascha Heifetz', 'Donald Voorhees']",1934,2
Cassius Love Vs. Sonny Wilson (Mono),['The Beach Boys'],1964,12
Cassius Love Vs. Sonny Wilson - Remastered 2001,['The Beach Boys'],1964,19
Cette petite affamée... à propos du Vice-Consul,"['Jean Marc Turine', 'Marguerite Duras']",1954,0
"Chi il bel sogno di Doretta from La rondine, Act I - Voice","['Giacomo Puccini', 'Renata Scotto', 'Gianandrea Gavazzeni', 'London Symphony Orchestra']",1946,2
DEVILS NEVER CRY(スタッフロール),['Capcom Sound Team'],2005,49
"Der Tod, das ist die kühle Nacht Op.96, No.1","['Johannes Brahms', 'Irmgard Seefried', 'Erik Werba']",1953,0
"Ebben? Ne andrò lontana from La Wally, Act I - Voice","['Alfredo Catalani', 'Renata Scotto', 'Gianandrea Gavazzeni', 'London Symphony Orchestra']",1946,2
Eternal,['Bone Thugs-N-Harmony'],1995,47
Eungenio Salvador Dali,['Mecano'],1988,24
H Friend,['Black Devil Disco Club'],1978,24
Heroes - Live; 2005 Remaster,['David Bowie'],1977,30
Heroes / Helden - 2001 Remaster,['David Bowie'],1977,37
Hooray For Love Medley - Live,"['Judy Garland', 'Barbra Streisand']",1964,16
I'm Quitting The Band.../(The Man That Got Away)(partial outtake) - Previously Unreleased Version,['Judy Garland'],1954,5
Introduction from Te Deum,"['Marc-Antoine Charpentier', 'Raymond Leppard', 'English Chamber Orchestra']",1954,0
J'ai l'impression que les mots traînent sur ma table...,['Marguerite Duras'],1954,0
Je lis le troisième Aurélia... (A propos d'Aurélia Steiner),"['Absis', 'Marguerite Duras']",1954,0
"Jubel - Overture, Op. 59","['Carl Maria von Weber', 'Berliner Philharmoniker', 'Hans Pfitzner']",1928,0
L'Immoraliste,"['André Gide', 'Jean Amrouche']",1949,0
La Lancia noire s'est arrêtée.... Marguerite Duras répète India Song avec Dionys Mascolo,"['Dionys Mascolo', 'Marguerite Duras']",1954,0
La porte étroite,"['André Gide', 'Jean Amrouche']",1949,0
Les Faux-monnayeurs: Composition...,"['André Gide', 'Jean Amrouche']",1949,0
Les nourritures terrestres,"['André Gide', 'Jean Amrouche', 'Arthur Rubinstein']",1949,0
"Les yeux bleus, cheveux noirs, lecture par Marguerite Duras (Extrait)",['Marguerite Duras'],1954,0
"Minuet from String Quintet No. 1 in E Major, Op. 13 No. 5, G. 275","['Luigi Boccherini', 'Bobby McFerrin', 'Saint Paul Chamber Orchestra']",1945,14
O (Oh!),['Sy Oliver'],1953,0
Paludes,"['André Gide', 'Jean Amrouche']",1949,0
Q,['The Brothers Johnson'],1977,25
Sanford & Son Theme - NBC-TV (The Streetbeater),['Quincy Jones'],1973,29
Saül,"['André Gide', 'Jean Amrouche', 'Arthur Rubinstein']",1949,0
"Se tu m'ami, se sospiri - 1955 Version","['Giovanni Battista Pergolesi', 'Irma Kolassi', 'Jacqueline Bonneau']",1952,0
T Plays It Cool,['Marvin Gaye'],1972,31
T Plays It Cool - Soundtrack Version,['Marvin Gaye'],1972,42
T Stands For Time,['Marvin Gaye'],1971,31
T Stands For Trouble,['Marvin Gaye'],1972,28
"Take Her to Sea, Mr. Murdoch",['James Horner'],1997,45
"The Take Over, The Breaks Over",['Fall Out Boy'],2007,57
The Thorn Birds Theme,['Henry Mancini'],1958,8
The Wonderful Art of Playing Latin Percussion Instruments - Live,['Liberace'],1955,0
Thésée,"['André Gide', 'Jean Amrouche', 'Arthur Rubinstein']",1949,0
"Tiens, on pourrait parler de ce frère...",['Marguerite Duras'],1954,0
#1,['Nelly'],2002,50
#1 Bad Boy - 2005 Remastered,['Poison'],1986,26
#1 Crush,['Garbage'],2007,41
#1 Crush - Nellee Hooper Mix,"['Garbage', 'Nellee Hooper']",1995,43
#1 Hit Song,['Minutemen'],1984,35
#1 Stunna,"['Big Tymers', 'Juvenile', 'Lil Wayne']",2000,47
#13,['Aphex Twin'],1994,38
#2,['Aphex Twin'],1994,36
#20,['Aphex Twin'],1994,45
#3,['Aphex Twin'],1994,58
#34,['Dave Matthews Band'],1994,38
#41,['Dave Matthews Band'],1996,55
"#41 - Live at Luther College, Decorah, IA - February 1996","['Dave Matthews', 'Tim Reynolds']",1999,42
#5 Go Bang! (Francois K Mix),['Dinosaur L'],1981,29
#7,['Aphex Twin'],1994,36
#9 Dream - Remastered 2010,['John Lennon'],1974,53
#Beautiful,"['Mariah Carey', 'Miguel']",2014,54
#ElMundoFuera (Improvisación),['Alejandro Sanz'],2020,0
#GETITRIGHT,['Miley Cyrus'],2013,51
#SELFIE,['The Chainsmokers'],2014,64
#icanteven (feat. French Montana),"['The Neighbourhood', 'French Montana']",2014,58
#thatPOWER,"['will.i.am', 'Justin Bieber']",2013,68
$$$ - with Matt Ox,"['XXXTENTACION', 'Matt Ox']",2018,68
$1000 Wedding - Remastered Version,['Gram Parsons'],1974,31
$150 / roll widdit,['Healy'],2015,54
$29.00 ,['Tom Waits'],1978,31
$50 Dollars and a Flask of Crown,['Bleu Edmondson'],2008,47
